tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100228074	0	live	ARHGEF33	MORN2	Rho guanine nucleotide exchange factor 33	rho guanine nucleotide exchange factor 33|MORN repeat containing 2		3	NC_044214.2	112437584	112463045	plus	16		
59729	Taeniopygia guttata	100218445	0	live	IGF2		insulin like growth factor 2	insulin-like growth factor II|IGF-II|insulin-like growth factor 2 (somatomedin A)		5	NC_044217.2	15227258	15243247	plus	4		
59729	Taeniopygia guttata	751998	0	live	ESR1	ER	estrogen receptor 1	estrogen receptor|ER-alpha|estradiol receptor|nuclear receptor subfamily 3 group A member 1		3	NC_044214.2	57360742	57537543	plus	9		
59729	Taeniopygia guttata	100223409	0	live	CRY1		cryptochrome circadian regulator 1	cryptochrome-1|cryptochrome 1 (photolyase-like)|cryptochrome circadian clock 1		1A	NC_044212.2	52213306	52253494	minus	14		
59729	Taeniopygia guttata	100220245	0	live	PLP1	PLP	proteolipid protein 1	myelin proteolipid protein|lipophilin|proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)		4A	NC_044216.2	18334761	18341821	minus	7		
59729	Taeniopygia guttata	100191006	0	live	FMR1		Fragile X messenger ribonucleoprotein 1	fragile X messenger ribonucleoprotein 1|synaptic functional regulator FMR1|FMRP translational regulator 1		4A	NC_044216.2	13172021	13203724	minus	15		
59729	Taeniopygia guttata	751997	0	live	NGF		nerve growth factor	beta-nerve growth factor		26	NC_044238.2	4257303	4283936	minus	3		
59729	Taeniopygia guttata	3950802	0	live	ND6	KEG28_p01	NADH dehydrogenase subunit 6	NADH dehydrogenase subunit 6		MT	NC_007897.1	14987	15505	minus	0		
59729	Taeniopygia guttata	3950801	0	live	CYTB	KEG28_p02	cytochrome b	cytochrome b		MT	NC_007897.1	13689	14831	plus	0		
59729	Taeniopygia guttata	3950800	0	live	ND5	KEG28_p03	NADH dehydrogenase subunit 5	NADH dehydrogenase subunit 5		MT	NC_007897.1	11863	13680	plus	0		
59729	Taeniopygia guttata	3950799	0	live	ND4	KEG28_p04	NADH dehydrogenase subunit 4	NADH dehydrogenase subunit 4		MT	NC_007897.1	10278	11655	plus	0		
59729	Taeniopygia guttata	3950798	0	live	ND4L	KEG28_p05	NADH dehydrogenase subunit 4L	NADH dehydrogenase subunit 4L		MT	NC_007897.1	9988	10284	plus	0		
59729	Taeniopygia guttata	3950796	0	live	COX3	KEG28_p07	cytochrome c oxidase subunit III	cytochrome c oxidase subunit III		MT	NC_007897.1	8712	9495	plus	0		
59729	Taeniopygia guttata	3950795	0	live	ATP6	KEG28_p08	ATP synthase F0 subunit 6	ATP synthase F0 subunit 6		MT	NC_007897.1	8023	8706	plus	0		
59729	Taeniopygia guttata	3950794	0	live	ATP8	KEG28_p09	ATP synthase F0 subunit 8	ATP synthase F0 subunit 8		MT	NC_007897.1	7865	8032	plus	0		
59729	Taeniopygia guttata	3950793	0	live	COX2	KEG28_p10	cytochrome c oxidase subunit II	cytochrome c oxidase subunit II		MT	NC_007897.1	7100	7783	plus	0		
59729	Taeniopygia guttata	3950792	0	live	COX1	KEG28_p11	cytochrome c oxidase subunit I	cytochrome c oxidase subunit I		MT	NC_007897.1	5402	6952	plus	0		
59729	Taeniopygia guttata	3950791	0	live	ND2	KEG28_p12	NADH dehydrogenase subunit 2	NADH dehydrogenase subunit 2		MT	NC_007897.1	4001	5041	plus	0		
59729	Taeniopygia guttata	3950790	0	live	ND1	KEG28_p13	NADH dehydrogenase subunit 1	NADH dehydrogenase subunit 1		MT	NC_007897.1	2801	3778	plus	0		
59729	Taeniopygia guttata	100886684	0	live	MIR24	tgu-mir-24	microRNA mir-24	microRNA 24		Z	NC_044241.2	10424986	10425117	minus	1		
59729	Taeniopygia guttata	100224503	0	live	OAZ2		ornithine decarboxylase antizyme 2	ornithine decarboxylase antizyme 2		10	NC_044222.2	3557047	3569900	minus	5		
59729	Taeniopygia guttata	100886624	0	live	MIR140	tgu-mir-140	microRNA mir-140	microRNA 140		11	NC_044223.2	11685253	11685324	plus	1		
59729	Taeniopygia guttata	100190409	0	live	NTS		neurotensin	neurotensin/neuromedin N		1A	NC_044212.2	40643647	40656057	plus	4		
59729	Taeniopygia guttata	751982	0	live	SNAP25		synaptosome associated protein 25	synaptosomal-associated protein 25|SNAP-25b		3	NC_044214.2	88976233	89037979	plus	9		
59729	Taeniopygia guttata	751589	0	live	UCHL1		ubiquitin C-terminal hydrolase L1	ubiquitin carboxyl-terminal hydrolase isozyme L1|ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)		4	NC_044215.2	23237789	23242591	plus	9		
59729	Taeniopygia guttata	100223555	0	live	CYCS		cytochrome c, somatic	cytochrome c		2	NC_044213.2	32659641	32662053	minus	3		
59729	Taeniopygia guttata	100190636	0	live	GAPDH		glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase		1	NC_044211.2	26164837	26168656	plus	12		
59729	Taeniopygia guttata	100190228	0	live	PYCR1	PYCR2	pyrroline-5-carboxylate reductase 1	pyrroline-5-carboxylate reductase 1, mitochondrial|pyrroline-5-carboxylate reductase family, member 2		18	NC_044230.2	2223370	2226457	minus	7		
59729	Taeniopygia guttata	100190318	0	live	SELENOF	SEP15	selenoprotein F	selenoprotein F|15 kDa selenoprotein		8	NC_044220.2	14660402	14684561	minus	5		
59729	Taeniopygia guttata	100231953	0	live	SELENOP	SEPP1	selenoprotein P	selenoprotein P|selenoprotein P, plasma, 1		Z	NC_044241.2	46811419	46819749	minus	5		
59729	Taeniopygia guttata	100230439	0	live	CYP2J19A		cytochrome P450 2J19A	cytochrome P450 2J2		8	NC_044220.2	3167181	3178161	plus	9		
59729	Taeniopygia guttata	100224220	0	live	CYP2J40	CYP2J19B	cytochrome P450 2J40	uncharacterized protein CYP2J40|cytochrome P450 subfamily 2 J19B		8	NC_044220.2	3176864	3197455	plus	19		
59729	Taeniopygia guttata	100232180	0	live	NPY		neuropeptide Y	pro-neuropeptide Y		2	NC_044213.2	32344962	32354172	plus	4		
59729	Taeniopygia guttata	100224895	0	live	NTSR1		neurotensin receptor 1	neurotensin receptor type 1		20	NC_044232.2	9599137	9655191	minus	4		
59729	Taeniopygia guttata	100223670	0	live	CRHR1		corticotropin releasing hormone receptor 1	corticotropin-releasing factor receptor 1|corticotropin-releasing hormone receptor type 1		27	NC_044239.2	4687084	4717997	minus	13		
59729	Taeniopygia guttata	100219758	0	live	CRHR2		corticotropin releasing hormone receptor 2	corticotropin-releasing factor receptor 2		2	NC_044213.2	3927697	4079727	plus	14		
59729	Taeniopygia guttata	100219518	0	live	DUSP1		dual specificity phosphatase 1	dual specificity protein phosphatase 1		13	NC_044225.2	15874381	15877059	plus	4		
59729	Taeniopygia guttata	100217817	0	live	FEM1C	FEM1C-Z	fem-1 homolog C	protein fem-1 homolog C		Z	NC_044241.2	30022819	30119403	plus	4		
59729	Taeniopygia guttata	100191007	0	live	DRD2	D2, D2R	dopamine receptor D2	D(2) dopamine receptor|dopamine receptor 2		24	NC_044236.2	6419896	6445041	minus	9		
59729	Taeniopygia guttata	751983	0	live	SYNPR		synaptoporin	synaptoporin		12	NC_044224.2	6750979	6851489	minus	7		
59729	Taeniopygia guttata	751775	0	live	GRIA2	GluR2	glutamate ionotropic receptor AMPA type subunit 2	glutamate receptor 2|AMPA GluR2 flop|glutamate receptor AMPA type GluR2 flop|glutamate receptor, ionotropic, AMPA 2		4	NC_044215.2	40781195	40868927	minus	17		
59729	Taeniopygia guttata	100886762	0	live	MIR10A	tgu-mir-10a	microRNA mir-10a	microRNA 10a		7	NC_044219.2	16360567	16360678	plus	1		
59729	Taeniopygia guttata	100190494	0	live	HBAA		hemoglobin alpha, subunit A	hemoglobin subunit alpha-A|hemoglobin, alpha 1		14	NC_044226.2	13453682	13454477	plus	3		
59729	Taeniopygia guttata	100190047	0	live	HBAD		hemoglobin alpha, subunit D	hemoglobin subunit alpha-D|hemoglobin, alpha 2		14	NC_044226.2	13450598	13451508	plus	3		
59729	Taeniopygia guttata	751976	0	live	HINT1		histidine triad nucleotide binding protein 1	adenosine 5'-monophosphoramidase HINT1|PKCI-Z-related protein		Z	NC_044241.2	6473888	6477797	minus	3		
59729	Taeniopygia guttata	751582	0	live	SNCA		synuclein alpha	alpha-synuclein|synuclein, alpha (non A4 component of amyloid precursor)		4	NC_044215.2	52725730	52789393	plus	7		
59729	Taeniopygia guttata	100228179	0	live	TRH		thyrotropin releasing hormone	thyrotropin releasing hormone		12	NC_044224.2	205942	228696	minus	5		
59729	Taeniopygia guttata	100220804	0	live	HSDL1		hydroxysteroid dehydrogenase like 1	inactive hydroxysteroid dehydrogenase-like protein 1		11	NC_044223.2	3730666	3736040	minus	6		
59729	Taeniopygia guttata	100218049	0	live	MBNL2		muscleblind like splicing regulator 2	muscleblind-like protein 2|muscleblind-like 2		1	NC_044211.2	74174860	74281170	plus	12		
59729	Taeniopygia guttata	100008583	0	live	NR3C1		nuclear receptor subfamily 3 group C member 1	glucocorticoid receptor|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)		13	NC_044225.2	17241548	17302746	minus	10		
59729	Taeniopygia guttata	100008581	0	live	FNTM1		fibronectin type III and transmembrane containing protein 1	fibronectin type III domain-containing protein 9		1	NC_044211.2	81286977	81291595	minus	2		
59729	Taeniopygia guttata	751776	0	live	NR3C2		nuclear receptor subfamily 3 group C member 2	mineralocorticoid receptor		4	NC_044215.2	57714651	57903801	minus	9		
59729	Taeniopygia guttata	100222413	0	live	GJB2		gap junction protein beta 2	gap junction beta-2 protein|gap junction protein, beta 2, 26kDa		1	NC_044211.2	68794596	68800202	plus	2		
59729	Taeniopygia guttata	115493143	0	live	NAPA		NSF attachment protein alpha	alpha-soluble NSF attachment protein|somatolog alpha-SNAP|somatolog alpha-soluble N-ethylmaleimide sensitive fusion protein (NSF) attachment protein		34	NC_054766.1	1062584	1072042	plus	12		
59729	Taeniopygia guttata	100231995	0	live	HTR2C		5-hydroxytryptamine receptor 2C	5-hydroxytryptamine receptor 2C|serotonin receptor 2C		4A	NC_044216.2	19079060	19322530	plus	10		
59729	Taeniopygia guttata	100231073	0	live	HTR2A		5-hydroxytryptamine receptor 2A	5-hydroxytryptamine receptor 2A		1	NC_044211.2	58471361	58498398	minus	3		
59729	Taeniopygia guttata	100228803	0	live	HTR2B		5-hydroxytryptamine receptor 2B	5-hydroxytryptamine receptor 2B		9	NC_044221.2	16134994	16147084	minus	3		
59729	Taeniopygia guttata	100219165	0	live	STAR		steroidogenic acute regulatory protein	steroidogenic acute regulatory protein, mitochondrial		22	NC_044234.2	613125	617366	plus	7		
59729	Taeniopygia guttata	100219060	0	live	PNPLA2	ATGL	patatin like phospholipase domain containing 2	patatin-like phospholipase domain-containing protein 2|adipose triglyceride lipase		5	NC_044217.2	17270276	17294321	minus	9		
59729	Taeniopygia guttata	100190498	0	live	OAZ1		ornithine decarboxylase antizyme 1	ornithine decarboxylase antizyme 1		28	NC_044240.2	3764670	3768403	minus	5		
59729	Taeniopygia guttata	100151695	0	live	CYP11A1		cytochrome P450, family 11, subfamily A, polypeptide 1	cholesterol side-chain cleavage enzyme, mitochondrial|mitochondrial cytochrome P450 chlolesterol side chain cleavage		10	NC_044222.2	2137496	2157999	plus	9		
59729	Taeniopygia guttata	100038820	0	live	TRPV1		transient receptor potential cation channel subfamily V member 1	transient receptor potential cation channel subfamily V member 1		19	NC_044231.2	3276453	3289013	minus	17		
59729	Taeniopygia guttata	751987	0	live	GPR50		G protein-coupled receptor 50	melatonin-related receptor|Mel-1c melatonin receptor		4A	NC_044216.2	12108394	12152566	minus	3		
59729	Taeniopygia guttata	751977	0	live	VIT2		vitellogenin 2	vitellogenin-2		8	NC_044220.2	14077373	14100877	minus	35		
59729	Taeniopygia guttata	751588	0	live	MTNR1B		melatonin receptor 1B	melatonin receptor type 1B		1	NC_044211.2	35584049	35605899	plus	2		
59729	Taeniopygia guttata	751586	0	live	MTNR1A		melatonin receptor 1A	melatonin receptor type 1A		4	NC_044215.2	30644278	30694145	plus	2		
59729	Taeniopygia guttata	751989	0	live	RPL17		ribosomal protein L17	60S ribosomal protein L17		Z	NC_044241.2	1002401	1007360	minus	8		
59729	Taeniopygia guttata	751988	0	live	RPL37		ribosomal protein L37	large ribosomal subunit protein eL37		Z	NC_044241.2	46153836	46156411	minus	4		
59729	Taeniopygia guttata	100218825	0	live	MBNL1		muscleblind like splicing regulator 1	muscleblind-like protein 1		9	NC_044221.2	25001944	25063699	minus	24		
59729	Taeniopygia guttata	100221702	0	live	PALM2AKAP2	AKAP2, PALM2, PALM2-AKAP2	PALM2 and AKAP2 fusion	paralemmin-2|A-kinase anchor protein 2|A kinase (PRKA) anchor protein 2|PALM2-AKAP2 fusion|paralemmin 2		Z	NC_044241.2	28142392	28415374	plus	14		
59729	Taeniopygia guttata	100008584	0	live	DMRT1	ANKRD15	doublesex and mab-3 related transcription factor 1	doublesex- and mab-3-related transcription factor 1|ankyrin repeat domain 15		Z	NC_044241.2	62175397	62238344	plus	5		
59729	Taeniopygia guttata	751770	0	live	HSD3B1		hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1		1	NC_044211.2	25682166	25690841	plus	6		
59729	Taeniopygia guttata	101233463	0	live	ADRA2C		adrenoceptor alpha 2C	alpha-2C adrenergic receptor|adrenergic receptor alpha 2c		4	NC_044215.2	9871840	9876394	plus	1		
59729	Taeniopygia guttata	100231407	0	live	ADRA2A		adrenoceptor alpha 2A	alpha-2A adrenergic receptor|adrenergic receptor alpha 2a		6	NC_044218.2	26150219	26153617	plus	1		
59729	Taeniopygia guttata	100229616	0	live	BMP7		bone morphogenetic protein 7	bone morphogenetic protein 7		20	NC_044232.2	12188973	12230726	plus	7		
59729	Taeniopygia guttata	100221891	0	live	BMP4		bone morphogenetic protein 4	bone morphogenetic protein 4		5	NC_044217.2	58857306	58867325	plus	4		
59729	Taeniopygia guttata	100221468	0	live	ADRA1D		adrenoceptor alpha 1D	alpha-1D adrenergic receptor|adrenergic receptor alpha 1d		4	NC_044215.2	3073859	3116479	minus	2		
59729	Taeniopygia guttata	100218108	0	live	BMP2		bone morphogenetic protein 2	bone morphogenetic protein 2		3	NC_044214.2	87686380	87693247	plus	3		
59729	Taeniopygia guttata	100218097	0	live	BMP6		bone morphogenetic protein 6	bone morphogenetic protein 6		2	NC_044213.2	64051572	64139589	plus	7		
59729	Taeniopygia guttata	100217807	0	live	HBAP	HBZ	hemoglobin alpha, subunit pi	hemoglobin subunit zeta|hemoglobin, zeta		14	NC_044226.2	13446220	13448124	plus	3		
59729	Taeniopygia guttata	751993	0	live	STXBP1		syntaxin binding protein 1	syntaxin-binding protein 1|unc18-1		17	NC_044229.2	2562766	2586003	plus	20		
59729	Taeniopygia guttata	751992	0	live	GABRA1		gamma-aminobutyric acid type A receptor subunit alpha1	gamma-aminobutyric acid receptor subunit alpha-1|GABA-A receptor alpha-1 subunit|gamma-aminobutyric acid (GABA) A receptor, alpha 2|gamma-aminobutyric acid type A receptor alpha1 subunit		13	NC_044225.2	2749626	2791239	plus	12		
59729	Taeniopygia guttata	100190446	0	live	SELENOT	SELT	selenoprotein T	thioredoxin reductase-like selenoprotein T		9	NC_044221.2	25199191	25205489	minus	6		
59729	Taeniopygia guttata	100222035	0	live	AZIN1		antizyme inhibitor 1	antizyme inhibitor 1|ornithine decarboxylase antizyme inhibitor		2	NC_044213.2	130891934	130918005	minus	12		
59729	Taeniopygia guttata	100499188	0	live	IL34		interleukin 34	interleukin-34		11	NC_044223.2	4686254	4691643	plus	7		
59729	Taeniopygia guttata	100499187	0	live	CSF1		colony stimulating factor 1	macrophage colony-stimulating factor 1		26	NC_044238.2	4973226	4981704	minus	10		
59729	Taeniopygia guttata	100232797	0	live	VT1		vasotocin receptor 1	arg8-vasotocin receptor		1A	NC_044212.2	27440046	27448778	minus	2		
59729	Taeniopygia guttata	100223762	0	live	NRG1		neuregulin 1	pro-neuregulin-1, membrane-bound isoform		Z	NC_044241.2	3805765	4257346	plus	17		
59729	Taeniopygia guttata	100220482	0	live	CSF1R		colony stimulating factor 1 receptor	macrophage colony-stimulating factor 1 receptor		13	NC_044225.2	11389102	11407163	minus	21		
59729	Taeniopygia guttata	100219759	0	live	AVPR1B	AVT2R, VT2	arginine vasopressin receptor 1B	vasopressin V1b receptor|arginine vasotocin receptor|vasotocin receptor 2		26	NC_044238.2	3597628	3600307	minus	2		
59729	Taeniopygia guttata	752004	0	live	LWS		LWS opsin	red-sensitive opsin|long-wavelength sensitive opsin		31	NC_054763.1	233057	239336	plus	6		
59729	Taeniopygia guttata	751973	0	live	SWS2		SWS2 opsin	blue-sensitive opsin|short-wavelength sensitive type 2 opsin		31	NC_054763.1	223585	229187	plus	5		
59729	Taeniopygia guttata	751971	0	live	RHO		rhodopsin	rhodopsin		12	NC_044224.2	376566	386964	minus	9		
59729	Taeniopygia guttata	751962	0	live	GRM3	mGluR3	glutamate metabotropic receptor 3	metabotropic glutamate receptor 3|glutamate receptor, metabotropic 3|metabotropic type gluatamate receptor 3		1A	NC_044212.2	7417706	7520317	minus	8		
59729	Taeniopygia guttata	751956	0	live	GRIN2B	NMDAR2B	glutamate ionotropic receptor NMDA type subunit 2B	glutamate receptor ionotropic, NMDA 2B|NMDA type glutamate receptor|glutamate receptor, ionotropic, N-methyl D-aspartate 2B		1A	NC_044212.2	46821235	47046156	minus	14		
59729	Taeniopygia guttata	751978	0	live	ACTB	ACT5C	actin beta	actin, cytoplasmic 1|beta-actin		14	NC_044226.2	4959443	4964228	minus	6		
59729	Taeniopygia guttata	100222603	0	live	ZFAND3		zinc finger AN1-type containing 3	AN1-type zinc finger protein 3|zinc finger, AN1-type domain 3		3	NC_044214.2	83064923	83205435	plus	9		
59729	Taeniopygia guttata	100229512	0	live	TNNI3K		TNNI3 interacting kinase	serine/threonine-protein kinase TNNI3K		8	NC_044220.2	247666	276433	minus	25		
59729	Taeniopygia guttata	778447	0	live	GAD2	GAD	glutamate decarboxylase 2	glutamate decarboxylase 2|glutamate decarboxylase 1 (brain, 67kDa)|glutamic acid decarboxylase 65-like protein		2	NC_044213.2	16796828	16837696	minus	17		
59729	Taeniopygia guttata	778442	0	live	GAD1	GAD67	glutamate decarboxylase 1	glutamate decarboxylase 1|glutamate decarboxylase 1 (brain, 67kDa)		7	NC_044219.2	14319190	14352409	plus	17		
59729	Taeniopygia guttata	751990	0	live	GOLPH3		golgi phosphoprotein 3	Golgi phosphoprotein 3|GPP34/GMX33-like protein		Z	NC_044241.2	43008921	43039012	minus	4		
59729	Taeniopygia guttata	100534626	0	live	PGD		phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating		21	NC_044233.2	1043340	1052846	plus	13		
